question_id,member_id,question,type
9886,61696,完全聽不出來throughout?聽起來像through the well ?,14
22446,78150,"請問在此句的""into""是不是略過不發音呢?",14
31774,88024,為什麼someone(第三人稱)後面是用were而不是was??,11
80000,90762,這句子裡的where 是什麼作用?,5
22243,80028,And the first one  kind of  blows people out of the water. 請問這段話我聽發音KID OF的OF好像不見了?但後面PEOPLE OUT OF得OF又有聽出來..外國人在念KID OF BLOWS是自動把OF去掉不念嗎??,14
31991,56291,這句 is being placed on top of the card that you just showed和這句.is now secretly in the middle的主詞都是that coin嗎?,10
31990,56291,placing為啥要ing    為何不是place,12
31899,56291, underneath 在這是什麼詞性,9
31576,56291,just 在這的用法要怎麼說?  would在這句要怎麼翻  ,14
31322,56291,like that為啥要有that,10
31321,56291,you've always wanted to為甚麼這樣用完成式,1
30383,56291,這裡的 letting 加ing是因為also的關係嗎?  You wanna be getting to know a person 是未來進行式吧?,2
29990,56291,If someone were to ask me how I am today 為啥要用were,11
28854,56291,you'll be speaking 為甚麼speak要加ing 還有這句要如何解釋,2
66346,99201,be too far removed from的解釋是和某物非常不同 中文翻譯為何是相去不遠,14
42776,84239,想請問一下  you've mastered  這個HAVE跟 -ED 要怎麼發音啊? 聽不太清楚到底有沒有發出HAVE跟ED的聲音...感覺過去式或是+s的聲音都聽不太清楚....謝謝!,14
39589,82143,第一句we were 是過去式   Vivienne  is 是現在式  And she said時又變回過去式 請問這是甚麼文法結構呢？,3
27904,82143,請問could  would 的用法  用在什麼情境,3
25651,82143,請問這句發音第二個字是否多了IN? ,14
6544,51414,不太懂 all of which now 在這當主詞之文法?? 是片語?  which 在這之用法? ,5
6203,51414,"I wasn't exactly  close to her, but with some superficial facts and a few interactions  over a semester, you know (like most guys, fantasizing over a girl they barely know), I  filled in the blanks like a fairytale author.  其中 a few interactions over a semester 中之over如何判斷應翻譯為在1學期期間而不是超過一學期",14
6201,51414,fantasize over  中over用法?  不懂使用over在這有何意義?,9
5896,51414,I even have a book about a  kitty cat who thinks the moon is a bowl of milk. Ahh!  為何關係代名詞為who不是which 或that  a  kitty cat  為動物不是應該用which 嗎?,5
40716,93038, I don't suggest you get loans or venture capital.  一句怎有兩個動詞suggest and get,10
35156,90126,"這裡的BOb is 聽起來好像是Bob's , 不是 bob is?",14
33673,90126,They've been 發音聽不太懂 好像只有一個音節?,14
33649,90126,"judged 字尾加d該怎念,影片中似乎聽不到,是念t還是d?",14
23656,78952,"請問My day started out walking ~walking為什麼是現在進行式?另外可否不用start out片語,用My day start to walk with my dog來表示是正確的嗎?",2
23064,78952,we're going to be making friends 請問be是為什麼,2
22815,78952,"請問這less chucking, more recycling裡的動詞為什麼要用進行式",2
22491,78952,為什麼要用進行式strarting不用start就好,2
22487,78952,That can be recycled，這是被動式句型對嗎?那be在這的用法是什麼,8
20874,78952,在so far的句子中，是否有歸定要用什麼型態的句型？,1
29256,87591,"  為什麼不是寫 as well as the beats and the rhythms 而是寫as well as the beats, the rhythms  這裡的逗點用意是甚麼呢? 謝謝",10
29254,87591,"請問 as well as 就是跟and 一樣嗎? 類似中文上的 ""與""  "" 和""的差異 如果我寫 I love hiking and swimming as well as jogging. 這種寫法可以嗎?  避開寫 l love hiking, swimming and jogging 這類簡單句型  如果就作文而言 and 跟 as well as的混搭是不是會比較有文采一點的感覺?    ",6
29169,87591,you are always judged by the way you perform 這句話是說  別人總是看我的表現來評斷我嗎? 因為 我看課程翻譯的中文  雖然是中文 但是很奇怪的中文    ,14
22934,69388,protecting the hedgehog not just from predators but from falls這句為何可以寫成這樣？ ,12
15239,69388,這裡省略的to與句子裡的do合起來是不定詞嗎？,6
14711,69388,1.presenting在這裡是什麼意思及詞性 2.這個句子該從哪裡翻譯比較好呢？,14
50534,98302,You are always judged by the way you perform.   you 發音好像被省略了對嗎? 什麼時候才要省略,14
50531,98302,影片中的 you know 的KNOW 似乎沒有發音? 這是可以被省略的嗎?,14
69129,91891,or so 的詳細用法,10
55858,99605," tongue  這個字怎麼發音？ 怎麼念 "" 湯 """,14
17523,76197,"這邊 causing another engine fire 是由 it cause another engine fire 簡化來的,   請問fire在這兒是當作甚麼詞類? 可以用 causing another engine to fire ? 或者用  causing another fire engine ? or causing another engine fired ?",12
96237,84855,this time 為何用過去式was？,3
86387,84855, want to have   後面的cut、commit為什麼不是用原型動詞而是加ing ？,12
59341,84855,這句後面為什麼要加 been，是現在完成式但簡化了嗎？,1
39354,84855,"為何原因聽 不到  ""gonna""的發音",14
39352,84855,為什麼不用compost   而用composted ,13
29910,84855,"I've been Molly from Jobaroo, and those have been our Working Holiday Visa dos and don'ts. 這句說我是Molly時 為何要用完成式而不直接說I'm Molly",1
27303,84855,The next component to understanding a table setting is to understand the progression of your cutlery. 這句understand 為什麼要加ing？,9
18339,55981,we want is we wanna是省略受詞代名詞嗎?,10
11250,55981,"gets the final decision on  I don't understand why use the ""on""",9
3238,55981,She told me after she was diagnosed that death was not what saddened her the most.  請問為何要加what,7
27212,84925,請問whatever it is they are talking about中間省略that有文法錯誤嗎？謝謝,5
85408,69895,這裡的better是副詞用嗎？在不定詞to 後面不是通常都是動詞嗎？,6
71084,69895,"這裡的had had for me.... had had for myself. 第一個had跟第二個had這裡代表什麼意思呢？ 另外，為何這裡就可以翻為""為了你"" ""為了我自已""?",14
70023,69895,in retrospect satisfied nobody. 這句話的語意及文法有點不了解。 是指在回憶中，沒有人是滿意的，是這樣的意思。 文法是 in + 名詞 + 形容詞 + 名詞？這樣好像怪怪的,5
69817,69895,"對於這個文法使用whom, 我實在有些confused, 為何不使用both of them就好了呢？",5
55045,69895,used to .....說明是過去常在做某事，且現在都沒有做了意思，是嗎？,3
36840,69895,我一直聽這個小男生前面說but you tell me the worldwide problem... 是嗎？,14
36835,69895,我聽到是… even if they seem never go out of the house. 少了seem喔,14
32124,69895,"you'd be a good person to talk ""to"" 這裡的to 可以省略嗎？",9
