question_id,member_id,question,其它,完成式,連接詞,假設語氣,分詞,進行式,過去式,未來式,關係代名詞,不定詞,名詞子句,被動,介係詞
60523,72151,請問文中won't是代表will not嗎?所以是未來式的否定句嗎? 謝謝!,0,0,0,0,0,0,0,1,0,0,0,0,0
17944,62926,請問前面為何要加What?不加的話句子也通順啊!  還有前面的will和後面的will是什麼意思?我實在是搞不懂will使用的時機 ,0,0,0,0,0,0,0,1,0,0,0,0,0
54326,78593,這個地方如果不用未來式，而是寫成It's really important for you會有差異嗎?,0,0,0,0,0,0,0,1,0,0,0,0,0
119032,86661,這裡的it will not only be your proud families 這裡的will be 是什麼意思呢？,0,0,0,0,0,0,0,1,0,0,0,0,0
49832,75378,"if假設用法,如果if子句是現在式,主要子句是未來式,這段的主要子句為什麼沒有看到未來式用法,還是這邊看成祈使句,他有未來的意義? 謝謝老師",0,0,0,0,0,0,0,1,0,0,0,0,0
49809,75378,"you ask this person  if they ""maybe wanna go out sometime?"" 請問這句的if是不是""不是使用假設用法"" 所以you ask仍是維持現在式,不是未來式 謝謝老師",0,0,0,0,0,0,0,1,0,0,0,0,0
34759,75378,"and will live 15 to 20 years 這邊應該是將一般情況,為什麼會用到未來式? 謝謝老師",0,0,0,0,0,0,0,1,0,0,0,0,0
29889,75378," it'll be okay.這邊回想過去,用未來式正確嗎? 謝謝老師",0,0,0,0,0,0,0,1,0,0,0,0,0
95215,93132,請問gotta 和gonna 要怎麼分？,0,0,0,0,0,0,0,1,0,0,0,0,0
21588,73812,想問為什麼最後一句要用won't (will not) 呢?,0,0,0,0,0,0,0,1,0,0,0,0,0
56742,99649,is about to = is going to嗎?,0,0,0,0,0,0,0,1,0,0,0,0,0
17954,31026,is they'll retreaㄔ; they'll makethemselves. IS 前面主詞是什麼?   is they'll retreat . 是BE動詞後加上未來式? 不太了解,0,0,0,0,0,0,0,1,0,0,0,0,0
94292,90915,請問這裡的would都是過去未來式嗎?,0,0,0,0,0,0,0,1,0,0,0,0,0
88234,90915,I'll put your bag near the door so that you won't forget it. 請問此句的won't是過去未來式嗎?,0,0,0,0,0,0,0,1,0,0,0,0,0
73258,90915,這裡的would是過去未來式的意思嗎還是這裡是當其他意思??,0,0,0,0,0,0,0,1,0,0,0,0,0
50900,93783, it's about to get a lot harder. 如果寫成it's going to get a lot harder 或 it will be to get a lot harder意思一樣嗎?,0,0,0,0,0,0,0,1,0,0,0,0,0
33962,86983,為何you spend on those a week. 不是用未來式? you'll spend on those a week,0,0,0,0,0,0,0,1,0,0,0,0,0
46028,92900,What  have you got to  lose?為何不說：What will you get to lose?,0,0,0,0,0,0,0,1,0,0,0,0,0
28767,81282,請問 be about to 和 be going to 是一樣的嗎？謝謝,0,0,0,0,0,0,0,1,0,0,0,0,0
49642,96029,請問be about to是否在用法上與be going to完全一樣?若不同能否請老師舉例協助了解。,0,0,0,0,0,0,0,1,0,0,0,0,0
54509,57352,"be going to     and     be about to do something  都是即將要做某事，那在這句 Life'snot always easy,  and,   in fact, it's about to get a lot harder.  可以換成 it's going to get a lot harder 嗎?",0,0,0,0,0,0,0,1,0,0,0,0,0
35885,63865,老師你好  之前好像有學過 be going to do  something ?  意思也是即將要做某事  請問這跟 be  about  to do  something   在用法上有什麼不同嗎?  謝謝,0,0,0,0,0,0,0,1,0,0,0,0,0
19333,77902,"此句若改為以下表達(未來式改為現在式)，在意思上有何不同? Many people think of answers to questions, but they don't actually practice verbalizing, and we really need to practice verbalizing answers.",0,0,0,0,0,0,0,1,0,0,0,0,0
61515,100901,為什麼這邊要用Will提問,0,0,0,0,0,0,0,1,0,0,0,0,0
117416,92874,how  ~ will be 是什麼樣的句型？ 為什麼   will be 後面不用接 動詞或名詞？ ,0,0,0,0,0,0,0,1,0,0,0,0,0
46092,84685,請問be going to和be about to兩者用法的差別  謝謝,0,0,0,0,0,0,0,1,0,0,0,0,0
42368,53896,be about to 與 be going to 有差別嗎? ,0,0,0,0,0,0,0,1,0,0,0,0,0
28384,16863,請問  在此的be about to do something 算是未來式嗎? 是口語用法嗎? 跟be going to do something 意思一模一樣嗎? ,0,0,0,0,0,0,0,1,0,0,0,0,0
38134,89916,as soon as的時態用法為何?是在子句內為現在式，主要子句為未來式 那用於過去時態該如何使用,0,0,0,0,0,0,0,1,0,0,0,0,0
64051,96621,老師請問這邊我不知道為什麼用Will開頭，是強調未來的實態嗎？這邊我一直以為是Is there a deep talent pool? ,0,0,0,0,0,0,0,1,0,0,0,0,0
30104,84896,為什麼~~這段話在講未來的事情~~在you're going to meet.....不適用you'll(you will),0,0,0,0,0,0,0,1,0,0,0,0,0
28084,84896,在口語上，甚麼時候要用be+going to這樣的說法?,0,0,0,0,0,0,0,1,0,0,0,0,0
16087,67643,為什麼這裡的句型是用are going to be 未來式? 謝謝!,0,0,0,0,0,0,0,1,0,0,0,0,0
21590,73812,請問只要有as 什麼什麼，後面一定是用will嗎? as .......  something/somebody will..... 然後想請問這是假設語氣嗎?,0,0,0,0,0,0,0,1,0,0,0,0,0
83772,94447,前面If you were to board 為什麼be動詞後面要加to呢? 這句是未來式還是什麼假設語氣?,0,0,0,1,0,0,0,0,0,0,0,0,0
39589,82143,第一句we were 是過去式   Vivienne  is 是現在式  And she said時又變回過去式 請問這是甚麼文法結構呢？,0,0,0,0,0,0,1,0,0,0,0,0,0
27904,82143,請問could  would 的用法  用在什麼情境,0,0,0,0,0,0,1,0,0,0,0,0,0
96237,84855,this time 為何用過去式was？,0,0,0,0,0,0,1,0,0,0,0,0,0
55045,69895,used to .....說明是過去常在做某事，且現在都沒有做了意思，是嗎？,0,0,0,0,0,0,1,0,0,0,0,0,0
3748,57637,the fact that 後面為什麼接了兩個句子she never really felt like she had fallen in love.,0,0,0,0,0,0,1,0,0,0,0,0,0
9242,59457,went ahead=go ahead 是有繼續的意思嗎?,0,0,0,0,0,0,1,0,0,0,0,0,0
7680,59457,在這裡用could 是表示?,0,0,0,0,0,0,1,0,0,0,0,0,0
4595,59457,"在這裡，crashed, shattering, being knocked 有不同時態，為什麼後面那二個不能繼續用過去式呢? 謝謝老師",0,0,0,0,0,0,1,0,0,0,0,0,0
46447,76802,"請問 ""make up"" 跟""made up""的使用方法有一樣嗎? ",0,0,0,0,0,0,1,0,0,0,0,0,0
81129,66589,請問為什麼touch down不是使用過去式而是現在式？謝謝！,0,0,0,0,0,0,1,0,0,0,0,0,0
43839,66589,請問這個過去式的句子裡，shattering和being為什麼是用v+ing的形式出現呢？謝謝！,0,0,0,0,0,0,1,0,0,0,0,0,0
43970,85704,"最後是用 they were in it for, 而不是用 they are???",0,0,0,0,0,0,1,0,0,0,0,0,0
96228,88328,"請問為什麼這句前面都用could過去式，而...imagine the impact that ""can"" have on the issue.卻用""can""現在式？",0,0,0,0,0,0,1,0,0,0,0,0,0
47823,89629,"請問這邊的I'd的全文是 I would嗎? if so , why not ""I will be ....""",0,0,0,0,0,0,1,0,0,0,0,0,0
23219,62816,為什麼不是know who I was?,0,0,0,0,0,0,1,0,0,0,0,0,0
41495,90629,"if I tell you that I headed to my office 前一句用tell後一句用head""ed""不是很懂文法的用法 you might want to ask me 中間的want to可以省略嗎?",0,0,0,0,0,0,1,0,0,0,0,0,0
39205,90629,"And these clothes and toys and stuff... Hey, I had one of these! Maybe somebody would want them. 這裡的would 什麼時候會用到過去式?",0,0,0,0,0,0,1,0,0,0,0,0,0
30313,12945,這裡的left 是leave嗎?  意思是腳本留下的這段紀錄?,0,0,0,0,0,0,1,0,0,0,0,0,0
4912,12945,And then I come along and I say  為什麼這句不是用過去式?,0,0,0,0,0,0,1,0,0,0,0,0,0
36914,88858,improved前面需要加was嗎,0,0,0,0,0,0,1,0,0,0,0,0,0
76129,75204,"為什麼要用過去式(when it ""cam""e to securing...)",0,0,0,0,0,0,1,0,0,0,0,0,0
35856,75204,"what ""commencement"" meant是否是""what ""commencement"" been meant""的簡寫?",0,0,0,0,0,0,1,0,0,0,0,0,0
68874,74088,included 可改成including嗎，兩者用法差異為何？,0,0,0,0,0,0,1,0,0,0,0,0,0
12309,68274,"Then I went to look up what ""commencement"" meant 為什麼這句話是用meant?",0,0,0,0,0,0,1,0,0,0,0,0,0
27184,77760,make為何不用過去式,0,0,0,0,0,0,1,0,0,0,0,0,0
26979,77760,請問為何這裡用couldn't  是因為是過去式嗎  ,0,0,0,0,0,0,1,0,0,0,0,0,0
20155,77760,請問這裡為何不是What are their names? 名字一直是同一個才對 ，想說是否該用現在式,0,0,0,0,0,0,1,0,0,0,0,0,0
43264,87413,請問built，此處為何要使用形容詞?,0,0,0,0,0,0,1,0,0,0,0,0,0
37270,87413,請問shattering詞性?為何不是過去式?,0,0,0,0,0,0,1,0,0,0,0,0,0
106831,91662,got to 是必須做某事 get to 是有機會可以做某事 那如果用過去式變成got to 就只能用文意來看囉? 還是這其實是一樣的?,0,0,0,0,0,0,1,0,0,0,0,0,0
105428,91662,disaster struck strick 一堆單字意思裡好像沒有比較適合的解釋?,0,0,0,0,0,0,1,0,0,0,0,0,0
73775,91662,went up的意思是?,0,0,0,0,0,0,1,0,0,0,0,0,0
63104,91662,than livestock farms do do的作用是?,0,0,0,0,0,0,1,0,0,0,0,0,0
19683,59745,I guess what I'm trying to say為什麼不是I was trying,0,0,0,0,0,0,1,0,0,0,0,0,0
13616,59745,這裡的would是過去式用法還是...,0,0,0,0,0,0,1,0,0,0,0,0,0
13032,59745,這裡if後面的find為什麼不是found?,0,0,0,0,0,0,1,0,0,0,0,0,0
5772,61235,請問It's a bit unfair because she embodies both love and youth. 這裡的embodies為什麼不用過去式embodied?,0,0,0,0,0,0,1,0,0,0,0,0,0
50483,97931,為什麼會用 ran into,0,0,0,0,0,0,1,0,0,0,0,0,0
50481,97931,on the way 的例句: I  ran into Mr. Chen on the way ,0,0,0,0,0,0,1,0,0,0,0,0,0
117368,101636,為何這裡要用 I had better 過去式，而不是現在式呢？,0,0,0,0,0,0,1,0,0,0,0,0,0
45677,88207,請問為何needed 和were 要用過去式呢?,0,0,0,0,0,0,1,0,0,0,0,0,0
38901,88207,請問seated 為何要用過去式?  而前面的is 是現在式?,0,0,0,0,0,0,1,0,0,0,0,0,0
9329,62470,請問在這裡為何媽媽說過話，不是用過去式呢said?而是用says呢?謝謝,0,0,0,0,0,0,1,0,0,0,0,0,0
58298,92958,until --&gt; 後面通常都接現在是嗎？,0,0,0,0,0,0,1,0,0,0,0,0,0
58066,98518,"and I was still alive, and I still had a daughter whom I adored, and I had an old typewriter and a big idea.   I still had a daughter 是因為前面有and所以要配合過去式嗎 那可以把and 拿掉用have嗎 女兒是到現在還一直都擁有的",0,0,0,0,0,0,1,0,0,0,0,0,0
55487,95542, 這裡的made為什麼用過去式?,0,0,0,0,0,0,1,0,0,0,0,0,0
52802,81976,needed 用過去式...是因為the company  已存在一段時間，所以用過去式嗎? 可以用現在式嗎? (不加ed),0,0,0,0,0,0,1,0,0,0,0,0,0
